Timestamp,MAXnetOUT,AvgUserCpu,AvgSystemCpu,MAXnetIN,AVGnetOut,AVGnetIN,CpuCoresMax,CpuCalc
2021-03-21T22:30:00.000Z,11389945,0.6928333333333333,0.31683333333333336,4961317,7037215.666666667,1482230,8,0.12620833333333334
2021-03-21T22:31:00.000Z,12178728,0.6828333333333333,0.27,5160449,7403803.333333333,1974178.3333333333,8,0.11910416666666666
2021-03-21T22:32:00.000Z,12426812,0.6681666666666667,0.28750000000000003,6773993,6792584.666666667,2233438.3333333335,8,0.11945833333333333
2021-03-21T22:33:00.000Z,23178883,1.164,1.2315,11395787,19728791.333333332,8578125.833333334,8,0.2994375
2021-03-21T22:34:00.000Z,15670544,0.7423333333333333,0.33,6070973,9920541.166666666,2963470,8,0.13404166666666667
2021-03-21T22:35:00.000Z,11360961,0.6573333333333333,0.31433333333333335,2726066,6532649.833333333,657496.3333333334,8,0.12145833333333333
2021-03-21T22:36:00.000Z,7047485,0.6425,0.265,891011,5014853.666666667,267178.1666666667,8,0.1134375
2021-03-21T22:37:00.000Z,12014719,0.6666666666666666,0.26766666666666666,7439952,6457567,1865774.1666666667,8,0.11679166666666665
2021-03-21T22:38:00.000Z,9872094,0.6603333333333333,0.26183333333333336,2785220,6025672.5,932055.1666666666,8,0.11527083333333334
2021-03-21T22:39:00.000Z,14507495,0.6838333333333333,0.27316666666666667,9711920,6542068.833333333,2048135.1666666667,8,0.119625
2021-03-21T22:40:00.000Z,8888374,0.682,0.2786666666666667,4169567,6130183.5,1789272,8,0.12008333333333335
2021-03-21T22:41:00.000Z,11448112,0.6885,0.26933333333333337,5953831,7282768.166666667,2400137.3333333335,8,0.11972916666666666
2021-03-21T22:42:00.000Z,8224040,0.6548333333333334,0.2775,1854709,5291551.666666667,477003.8333333333,8,0.11654166666666668
2021-03-21T22:43:00.000Z,19533020,0.7346666666666667,0.2848333333333333,13051165,8037000.666666667,2766015.6666666665,8,0.1274375
2021-03-21T22:44:00.000Z,19288463,0.7253333333333334,0.2708333333333333,12879028,10025044.833333334,4296269.333333333,8,0.12452083333333333
2021-03-21T22:45:00.000Z,15966216,0.7393333333333333,0.2795,11135599,6908017.166666667,2708525,8,0.12735416666666666
2021-03-21T22:46:00.000Z,9885432,0.691,0.28350000000000003,4064450,6405725.666666667,1448407.1666666667,8,0.12181249999999999
2021-03-21T22:47:00.000Z,9330888,0.6611666666666667,0.26833333333333337,3544017,5388254.833333333,995082.6666666666,8,0.1161875
2021-03-21T22:48:00.000Z,9425550,0.6665,0.3786666666666667,3200438,6381347.166666667,1043145,8,0.13064583333333335
2021-03-21T22:49:00.000Z,16938815,0.7588333333333334,0.436,10272504,9982365.5,3522973.5,8,0.14935416666666668
2021-03-21T22:50:00.000Z,10970492,0.6711666666666667,0.2745,3623226,7369083,1406872.5,8,0.11820833333333333
2021-03-21T22:51:00.000Z,8392681,0.6456666666666667,0.2538333333333333,4109692,6384798.5,2244422.1666666665,8,0.1124375
2021-03-21T22:52:00.000Z,10387490,0.6545,0.2745,4930760,6559449,1644290.8333333333,8,0.116125
2021-03-21T22:53:00.000Z,11077619,0.6421666666666667,0.2688333333333333,5475059,6399045.666666667,1382499.6666666667,8,0.113875
2021-03-21T22:54:00.000Z,12764690,0.7081666666666666,0.26666666666666666,6231163,8168213.5,2530740.6666666665,8,0.12185416666666665
2021-03-21T22:55:00.000Z,10397098,0.7125,0.2833333333333333,5084532,6913327.333333333,1530681.6666666667,8,0.12447916666666667
2021-03-21T22:56:00.000Z,26747531,0.6813333333333333,0.27066666666666667,28932978,10805258.166666666,7908526.666666667,8,0.119
2021-03-21T22:57:00.000Z,9916230,0.6645,0.2695,3543680,8020897.5,1975438.1666666667,8,0.11674999999999999
2021-03-21T22:58:00.000Z,19307427,0.7441666666666666,0.2738333333333333,12994856,8422808.5,2746568.6666666665,8,0.12725
2021-03-21T22:59:00.000Z,15295169,0.6778333333333334,0.2638333333333333,10342670,8590731.333333334,3641763.5,8,0.11770833333333333
2021-03-21T23:00:00.000Z,9166963,0.6916666666666668,0.307,4146740,5632638.833333333,856402.8333333334,8,0.12483333333333335
2021-03-21T23:01:00.000Z,18644734,0.7866666666666666,0.2876666666666667,12271872,7786118.666666667,2896059.8333333335,8,0.13429166666666667
2021-03-21T23:02:00.000Z,11643334,0.6866666666666666,0.2788333333333333,5000390,7138332.166666667,1047836.5,8,0.1206875
2021-03-21T23:03:00.000Z,37803104,0.7403333333333334,0.31433333333333335,46757717,13250600.5,9912285.833333334,8,0.13183333333333336
2021-03-21T23:04:00.000Z,16460786,0.7290000000000001,0.2668333333333333,10568887,8512587.5,3025635.5,8,0.12447916666666667
2021-03-21T23:05:00.000Z,9437544,0.7083333333333334,0.283,4127587,6821869.833333333,2544192.6666666665,8,0.12391666666666667
2021-03-21T23:06:00.000Z,9970149,0.7040000000000001,0.2778333333333333,3053966,5774157.666666667,661541.3333333334,8,0.12272916666666667
2021-03-21T23:07:00.000Z,6903824,0.6548333333333333,0.26433333333333336,2055892,4765798.5,442991,8,0.11489583333333334
2021-03-21T23:08:00.000Z,10766606,0.6735000000000001,0.26616666666666666,5645705,5779092.333333333,1083863.6666666667,8,0.11745833333333335
2021-03-21T23:09:00.000Z,10914715,0.7083333333333334,0.2795,5726759,7467122.166666667,1795279.5,8,0.12347916666666667
2021-03-21T23:10:00.000Z,10049790,0.7378333333333332,0.28933333333333333,4131526,7279640,1680092.5,8,0.12839583333333332
2021-03-21T23:11:00.000Z,10577120,0.6705,0.27,4037755,6159758.666666667,1065179.1666666667,8,0.1175625
2021-03-21T23:12:00.000Z,10788990,0.6983333333333334,0.27516666666666667,5045647,5970518.166666667,1776530.5,8,0.1216875
2021-03-21T23:13:00.000Z,11708336,1.0515,0.4111666666666667,5057597,5622626.166666667,1022100.5,8,0.18283333333333335
2021-03-21T23:14:00.000Z,8896532,0.7001666666666667,0.2605,3984627,6914527.666666667,1648631.3333333333,8,0.12008333333333335
2021-03-21T23:15:00.000Z,7553788,0.6801666666666667,0.271,1829518,6088636.166666667,895524,8,0.11889583333333334
2021-03-21T23:16:00.000Z,9589231,0.7108333333333334,0.27566666666666667,4220113,7400001,1697614.1666666667,8,0.12331250000000002
2021-03-21T23:17:00.000Z,10363757,0.691,0.2803333333333333,3788245,7035423.833333333,1634191.1666666667,8,0.12141666666666666
2021-03-21T23:18:00.000Z,10931236,0.681,0.27499999999999997,4917859,5847477.166666667,1413925.1666666667,8,0.1195
2021-03-21T23:19:00.000Z,15770563,0.7435,0.2705,11393264,7790777.166666667,3467577.8333333335,8,0.12675
2021-03-21T23:20:00.000Z,13301708,0.7343333333333334,0.29333333333333333,6702695,8751190.166666666,3686772.8333333335,8,0.12845833333333334
2021-03-21T23:21:00.000Z,14710724,0.8871666666666668,0.3076666666666667,9264019,9203574.333333334,3846427.3333333335,8,0.14935416666666668
2021-03-21T23:22:00.000Z,18138887,0.8875000000000001,0.403,9241616,10084380.666666666,3112719.5,8,0.16131250000000003
2021-03-21T23:23:00.000Z,15862025,0.9355000000000001,0.48033333333333333,6291277,10719287.166666666,2782108,8,0.1769791666666667
2021-03-21T23:24:00.000Z,10399877,0.8226666666666667,0.3441666666666667,3043918,8290173.5,1698710.1666666667,8,0.14585416666666667
2021-03-21T23:25:00.000Z,11396467,0.8191666666666667,0.35316666666666663,3878985,8048631.833333333,2047394.8333333333,8,0.14654166666666668
2021-03-21T23:26:00.000Z,15123292,0.8401666666666667,0.3406666666666667,7288239,9145003.333333334,3070980.6666666665,8,0.14760416666666668
2021-03-21T23:27:00.000Z,21014621,0.9978333333333333,0.36333333333333334,13280928,13359636.166666666,5694878.333333333,8,0.17014583333333333
2021-03-21T23:28:00.000Z,17528790,0.884,0.446,9181622,10186682.666666666,3613804.6666666665,8,0.16625
2021-03-21T23:29:00.000Z,20171078,0.9596666666666667,0.3601666666666667,10937679,14013220.333333334,5783013,8,0.16497916666666668
2021-03-21T23:30:00.000Z,10978009,0.8785000000000002,0.5601666666666667,3634874,8012610.5,2180262.1666666665,8,0.17983333333333335
2021-03-21T23:31:00.000Z,8572564,0.8026666666666666,0.3451666666666667,2617251,6989922.333333333,1663109.1666666667,8,0.14347916666666666
2021-03-21T23:32:00.000Z,13714809,0.8225000000000001,0.32583333333333336,5734146,9001728,2360773.3333333335,8,0.14354166666666668
2021-03-21T23:33:00.000Z,8909534,0.7356666666666666,0.30333333333333334,2842660,7141407.5,1572767,8,0.129875
2021-03-21T23:34:00.000Z,11968342,0.7736666666666666,0.28783333333333333,5748632,7917883.166666667,2343606,8,0.13268749999999999
2021-03-21T23:35:00.000Z,23715903,1.1631666666666667,0.7303333333333334,14046207,18854282.5,10298055.833333334,8,0.2366875
2021-03-21T23:36:00.000Z,21427303,1.2816666666666667,1.1263333333333334,10334763,20006406.333333332,8780204.833333334,8,0.30100000000000005
2021-03-21T23:37:00.000Z,17718651,0.9398333333333334,0.35733333333333334,10548544,11031506.833333334,5026689.5,8,0.16214583333333335
2021-03-21T23:38:00.000Z,9226928,0.7976666666666667,0.33966666666666673,3986828,7453755,1890804.5,8,0.1421666666666667
2021-03-21T23:39:00.000Z,18716654,0.8464999999999999,0.3363333333333334,15887212,12008803.666666666,6270501.833333333,8,0.14785416666666668
2021-03-21T23:40:00.000Z,14299290,0.824,0.4231666666666667,5823503,9932237.5,3031623,8,0.15589583333333334
2021-03-21T23:41:00.000Z,8421196,0.7055000000000001,0.2881666666666667,3790416,5709239.333333333,1426470.1666666667,8,0.12420833333333335
2021-03-21T23:42:00.000Z,10914148,0.7721666666666667,0.33266666666666667,6741730,6073231.166666667,1869473.3333333333,8,0.13810416666666667
2021-03-21T23:43:00.000Z,7006030,0.7191666666666667,0.29,2633493,4768098.5,900005.8333333334,8,0.12614583333333335
2021-03-21T23:44:00.000Z,19670480,0.8015,0.3,14961931,11299855.333333334,5240286.5,8,0.1376875
2021-03-21T23:45:00.000Z,91387911,0.8355,0.3881666666666666,85165082,23349605,18241401,8,0.15295833333333334
2021-03-21T23:46:00.000Z,9112487,0.7316666666666668,0.32383333333333336,1769716,5713346.166666667,558833.6666666666,8,0.1319375
2021-03-21T23:47:00.000Z,15026981,0.7743333333333333,0.2861666666666667,6244188,8867315.666666666,1968916,8,0.1325625
2021-03-21T23:48:00.000Z,8758718,0.7088333333333333,0.27099999999999996,3531128,6685825.166666667,961671.8333333334,8,0.12247916666666667
2021-03-21T23:49:00.000Z,9141521,0.6856666666666666,0.2708333333333333,3533161,5911529.5,711389.6666666666,8,0.11956249999999999
