Timestamp,MAXnetOUT,MAXnetIN,AVGnetOut,AVGnetIN
2021-03-21T11:33:00.000Z,7877189,1777344,5594763.333333333,660982.5
2021-03-21T11:34:00.000Z,18053483,7618442,15349317.5,6144712.166666667
2021-03-21T11:35:00.000Z,8855270,199429,6143270.5,153802.66666666666
2021-03-21T11:36:00.000Z,10775234,5751606,6373862.666666667,1358683.8333333333
2021-03-21T11:37:00.000Z,7638360,207615,5322669,137546
2021-03-21T11:38:00.000Z,5025570,353993,3639592.3333333335,159091.33333333334
2021-03-21T11:39:00.000Z,12401751,5573326,6523176.166666667,1929844.8333333333
2021-03-21T11:40:00.000Z,8371524,3341343,5123385,1132854.8333333333
2021-03-21T11:41:00.000Z,6177767,1824884,3887101.8333333335,410223.6666666667
2021-03-21T11:42:00.000Z,15781576,13367572,7517554.833333333,4028740.3333333335
2021-03-21T11:43:00.000Z,12552432,7380209,7698655.166666667,3333599.5
2021-03-21T11:44:00.000Z,7538537,1857577,6446361.5,1162875
2021-03-21T11:45:00.000Z,22488780,15697039,12995423.5,7140375.666666667
2021-03-21T11:46:00.000Z,15549047,8190890,8460943.333333334,3177007.3333333335
2021-03-21T11:47:00.000Z,10448143,8176971,6162431.333333333,2090120.1666666667
2021-03-21T11:48:00.000Z,8895629,2105880,6215789.333333333,921109.6666666666
2021-03-21T11:49:00.000Z,8105334,1838984,6711432.5,899962.6666666666
2021-03-21T11:50:00.000Z,12654957,6850755,7472183.333333333,1578668.1666666667
2021-03-21T11:51:00.000Z,9950107,3885124,5975994.166666667,1383818.3333333333
2021-03-21T11:52:00.000Z,11158604,5623593,6753729.333333333,1761411.3333333333
2021-03-21T11:53:00.000Z,13775188,5961001,8781156.333333334,2444033.6666666665
2021-03-21T11:54:00.000Z,13112488,8816910,7702370.833333333,2065091.1666666667
2021-03-21T11:55:00.000Z,13449557,8465844,6509483.5,1784528.8333333333
2021-03-21T11:56:00.000Z,7047573,3264034,4857929.666666667,1190494.8333333333
2021-03-21T11:57:00.000Z,9544620,3807784,6481958.333333333,821443.5
2021-03-21T11:58:00.000Z,7450256,160207,4806285,114402.83333333333
2021-03-21T11:59:00.000Z,7753680,1743158,6191490,689544
2021-03-21T12:00:00.000Z,8077591,2005233,5229499.333333333,420524.6666666667
2021-03-21T12:01:00.000Z,11045041,4462032,7019656.833333333,1521732.8333333333
2021-03-21T12:02:00.000Z,8469327,3330328,6028042.333333333,910035
2021-03-21T12:03:00.000Z,11731397,5759243,9002051.166666666,2834057
2021-03-21T12:04:00.000Z,6975273,2081638,5302423.333333333,623105.6666666666
2021-03-21T12:05:00.000Z,8752142,2296481,6446082.666666667,986975
2021-03-21T12:06:00.000Z,10173743,5293432,6183865.666666667,1157625.1666666667
2021-03-21T12:07:00.000Z,55602850,49561778,14253807,8917692.833333334
2021-03-21T12:08:00.000Z,43228647,35413934,11404521.166666666,6094245.5
2021-03-21T12:09:00.000Z,7852634,3131887,5426665.166666667,1035825.5
2021-03-21T12:10:00.000Z,34635119,46005593,8958526.833333334,7837232.333333333
2021-03-21T12:11:00.000Z,10446989,3511229,5619099.333333333,694677.6666666666
2021-03-21T12:12:00.000Z,4450271,236007,3504953.1666666665,134976.5
2021-03-21T12:13:00.000Z,15776727,10709527,7343806.333333333,2468679.8333333335
2021-03-21T12:14:00.000Z,9268816,4012957,6739952.666666667,1433749.8333333333
2021-03-21T12:15:00.000Z,20544046,11246227,11656172,4667208.5
2021-03-21T12:16:00.000Z,8330685,4056813,6282639.166666667,1542161.3333333333
2021-03-21T12:17:00.000Z,10502582,5746154,5387482.833333333,1109741.5
2021-03-21T12:18:00.000Z,11336015,5554068,6897856.333333333,1400992
2021-03-21T12:19:00.000Z,10640044,1949695,6531820.833333333,723114.3333333334
2021-03-21T12:20:00.000Z,15032889,7662460,8715787,2028320.3333333333
2021-03-21T12:21:00.000Z,14795796,5395487,9155228.166666666,2746113.3333333335
2021-03-21T12:22:00.000Z,13624590,4936877,8998962.166666666,2860464.1666666665
2021-03-21T12:23:00.000Z,12086397,4146994,7446629.333333333,1959388.3333333333
2021-03-21T12:24:00.000Z,10280249,2748763,6200723.333333333,880466.1666666666
2021-03-21T12:25:00.000Z,14298017,10202088,7852433.333333333,2699603.1666666665
2021-03-21T12:26:00.000Z,8667270,3845717,5623028.333333333,766925.3333333334
2021-03-21T12:27:00.000Z,6860461,1247875,4610467.5,402986
2021-03-21T12:28:00.000Z,12466622,5788868,7330207.333333333,2508845.8333333335
2021-03-21T12:29:00.000Z,7138598,1934653,5810411.833333333,697241
2021-03-21T12:30:00.000Z,6366968,1814985,4184855.8333333335,469200.3333333333
2021-03-21T12:31:00.000Z,7804432,4111245,4231504.333333333,803340.3333333334
2021-03-21T12:32:00.000Z,17431879,8651732,10549773.5,4206835.333333333
2021-03-21T12:33:00.000Z,26548979,12141356,19613945,8263865.5
2021-03-21T12:34:00.000Z,19904814,8738012,14639997.5,5334705.833333333
2021-03-21T12:35:00.000Z,7607464,1413490,5796091.333333333,486132.5
2021-03-21T12:36:00.000Z,36935662,46698762,10546716,8528309
2021-03-21T12:37:00.000Z,8483343,3757379,5428121.666666667,801149
2021-03-21T12:38:00.000Z,8904769,2850710,5594231,599019.5
2021-03-21T12:39:00.000Z,13491429,9299947,7426096,2193629
2021-03-21T12:40:00.000Z,9075725,2940867,6667105.333333333,1200604.3333333333
2021-03-21T12:41:00.000Z,10229037,4288609,5074006.5,981106.6666666666
2021-03-21T12:42:00.000Z,17726590,12256798,8682817.833333334,3729316.5
2021-03-21T12:43:00.000Z,36693375,45900433,11236458.666666666,7805214.5
2021-03-21T12:44:00.000Z,13637809,7533331,6782736.833333333,2163269
2021-03-21T12:45:00.000Z,14554596,9386137,6600007.333333333,2059116.6666666667
2021-03-21T12:46:00.000Z,11360641,3751856,7279890.5,1184744
2021-03-21T12:47:00.000Z,5740702,187675,3917637,111208.83333333333
2021-03-21T12:48:00.000Z,6283678,222214,5040797,135085.66666666666
2021-03-21T12:49:00.000Z,7926799,842213,5790020.833333333,309126.6666666667
2021-03-21T12:50:00.000Z,7054622,1832578,5391811,470056.3333333333
2021-03-21T12:51:00.000Z,7185819,2969290,5800401.833333333,930944
2021-03-21T12:52:00.000Z,8568350,4472051,6647425,2429662.6666666665
2021-03-21T12:53:00.000Z,15039882,8711306,6732026.333333333,1942936.1666666667
2021-03-21T12:54:00.000Z,27910094,27324328,12159907.833333334,8400047.333333334
2021-03-21T12:55:00.000Z,7354487,261695,5603110.833333333,182801
2021-03-21T12:56:00.000Z,10115261,3962727,7837472.166666667,2391752.3333333335
2021-03-21T12:57:00.000Z,7662387,2158229,6327349.333333333,1130400.5
2021-03-21T12:58:00.000Z,10626491,4667849,7978949.333333333,2817627.6666666665
2021-03-21T12:59:00.000Z,9436114,4073908,6992317.333333333,1586603.5
2021-03-21T13:00:00.000Z,21772115,14411703,10401043.166666666,3778159.3333333335
2021-03-21T13:01:00.000Z,10385294,2066066,6958792.666666667,1328884.5
2021-03-21T13:02:00.000Z,4752164,436438,3767015.1666666665,179201.33333333334
2021-03-21T13:03:00.000Z,6518534,2057042,4442056.666666667,728504.5
2021-03-21T13:04:00.000Z,16180437,10480169,7971897.5,3089458.6666666665
2021-03-21T13:05:00.000Z,36357877,45116833,13800263.5,11931431.666666666
2021-03-21T13:06:00.000Z,8637289,3795050,6940720,1669815.1666666667
2021-03-21T13:07:00.000Z,11629954,8368138,7257495,2445868.1666666665
2021-03-21T13:08:00.000Z,16863654,11290923,6531870.833333333,2068025.5
2021-03-21T13:09:00.000Z,11622653,6010831,6974362.333333333,1817130.5
2021-03-21T13:10:00.000Z,12438133,5781898,9023082,3135662.3333333335
2021-03-21T13:11:00.000Z,10872734,4068008,5762879.333333333,1468742.8333333333
2021-03-21T13:12:00.000Z,4904392,1083193,3811871.1666666665,272318.5
2021-03-21T13:13:00.000Z,37806492,47477851,10508869.333333334,8145826.166666667
2021-03-21T13:14:00.000Z,12169979,10147203,8061073.166666667,3977780
2021-03-21T13:15:00.000Z,9370567,3741329,5326045,1276167.3333333333
2021-03-21T13:16:00.000Z,10191420,5492972,6034279.666666667,1984648.1666666667
