Timestamp,Host__Network__In__Bytes
"2021-04-12T20:32:34.868Z",68934
"2021-04-12T20:32:24.860Z",4596506
"2021-04-12T20:32:14.866Z",1546254
"2021-04-12T20:32:04.859Z",1805032
"2021-04-12T20:31:54.860Z",185963
"2021-04-12T20:31:44.859Z",56254
"2021-04-12T20:31:34.859Z",18238074
"2021-04-12T20:31:24.859Z",683999
"2021-04-12T20:31:14.859Z",1494026
"2021-04-12T20:31:04.866Z",70551
"2021-04-12T20:30:54.861Z",2034027
"2021-04-12T20:30:44.859Z",1714190
"2021-04-12T20:30:34.860Z",956229
"2021-04-12T20:30:24.860Z",5705987
"2021-04-12T20:30:14.859Z",1806850
"2021-04-12T20:30:04.860Z",13738551
"2021-04-12T20:29:54.862Z",1869810
"2021-04-12T20:29:44.860Z",7630256
"2021-04-12T20:29:34.859Z",7655563
"2021-04-12T20:29:24.859Z",65745
"2021-04-12T20:29:14.859Z",9038502
"2021-04-12T20:29:04.859Z",13900045
"2021-04-12T20:28:54.860Z",895376
"2021-04-12T20:28:44.859Z",3896537
"2021-04-12T20:28:34.859Z",2622240
"2021-04-12T20:28:24.859Z",1746769
"2021-04-12T20:28:14.859Z",6693770
"2021-04-12T20:28:04.861Z",718428
"2021-04-12T20:27:54.859Z",75885
"2021-04-12T20:27:44.859Z",720568
"2021-04-12T20:27:34.859Z",501236
"2021-04-12T20:27:24.859Z",114369
"2021-04-12T20:27:14.859Z",4124322
"2021-04-12T20:27:04.860Z",712384
"2021-04-12T20:26:54.859Z",112397
"2021-04-12T20:26:44.859Z",59523
"2021-04-12T20:26:34.860Z",1392645
"2021-04-12T20:26:24.862Z",16346328
"2021-04-12T20:26:14.859Z",10312887
"2021-04-12T20:26:04.860Z",125066
"2021-04-12T20:25:54.859Z",1679049
"2021-04-12T20:25:44.860Z",5349581
"2021-04-12T20:25:34.859Z",19305009
"2021-04-12T20:25:24.859Z",13355108
"2021-04-12T20:25:14.859Z",6907231
"2021-04-12T20:25:04.859Z",97197
"2021-04-12T20:24:54.859Z",1348098
"2021-04-12T20:24:44.859Z",88784
"2021-04-12T20:24:34.859Z",5867845
"2021-04-12T20:24:24.860Z",6576960
"2021-04-12T20:24:14.859Z",148283
"2021-04-12T20:24:04.859Z",165735
"2021-04-12T20:23:54.859Z",714237
"2021-04-12T20:23:44.859Z",4949133
"2021-04-12T20:23:34.859Z",1580702
"2021-04-12T20:23:24.860Z",186890
"2021-04-12T20:23:14.859Z",88505
"2021-04-12T20:23:04.859Z",42557116
